category,idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
Bottle,354,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=354,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:41:52.105873,crawled_products/idx_354.json
Bottle,355,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=355,성공,1,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T12:42:19.880816,crawled_products/idx_355.json
Bottle,357,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=357,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:35:32.656516,crawled_products/idx_357.json
Bottle,358,300ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=358,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:54:44.754577,crawled_products/idx_358.json
Bottle,359,320ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=359,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:52:18.581694,crawled_products/idx_359.json
Bottle,36,750ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=36,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T13:00:03.743496,crawled_products/idx_36.json
Bottle,360,150ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=360,성공,2,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:34:41.460044,crawled_products/idx_360.json
Bottle,361,500ml 브로우용기,http://chungjinkorea.com/kr/product/view.php?idx=361,성공,3,성공,"unknown,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T12:41:42.879948,crawled_products/idx_361.json
Unknown,417,220g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=417,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:47:36.028959,crawled_products/idx_417.json
Unknown,418,300g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=418,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:48:28.400684,crawled_products/idx_418.json
Unknown,419,400g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=419,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:51:46.148614,crawled_products/idx_419.json
Unknown,420,500g 크림용기,http://chungjinkorea.com/kr/product/view.php?idx=420,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:49:13.265397,crawled_products/idx_420.json
Unknown,421,50g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=421,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:51:23.208096,crawled_products/idx_421.json
Unknown,422,80g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=422,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:52:58.954939,crawled_products/idx_422.json
Unknown,423,50g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=423,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:52:28.946193,crawled_products/idx_423.json
Unknown,424,100g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=424,성공,2,성공,main,성공,3,완료,"Phone,Fax,Email",2025-10-18T02:52:09.254382,crawled_products/idx_424.json
Unknown,425,100g 헤비크림용기,http://chungjinkorea.com/kr/product/view.php?idx=425,성공,3,성공,"additional_2,main",성공,3,완료,"Phone,Fax,Email",2025-10-18T02:49:43.754845,crawled_products/idx_425.json
