product_code,product_name,material,spec,dimensions,category,packaging,mold,cost,price,production,note,images_count,image_files,has_print_area,source_file,source_type
BE111-A004,1000ml 브로우용기,PE,100x74x192(mm)/Ø28,,Bottle/PE,,,,,,,3,ADD_GOODS2_1658128972.jpg|GOODS1_1658128972.jpg|ADD_GOODS1_1658128972.jpg,false,idx_146.json,crawled
TE030-G003,30ml 튜브브로우용기,PE,27x97(mm)/Ø24,,Bottle/PE,,,,,,,3,GOODS1_1660004081.jpg|ADD_GOODS1_1660004081.jpg|1660004081_1.jpg,false,idx_453.json,crawled
BE850-C009,850ml 브로우용기,PE,106x64x232(mm)/Ø28,,Bottle/PE,,,,,,,2,GOODS1_165839366820230719135306.jpg|1658393668_1.jpg,false,idx_280.json,crawled
BE350-R001,350ml 브로우용기,PE,57x191(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658115955.jpg,false,idx_22.json,crawled
BE150-H001,150ml 브로우용기,PE,49x34x180(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658306810.jpg,false,idx_185.json,crawled
BE750-G006,750ml 브로우용기,PE,88x170(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1706848635.jpg|ADD_GOODS1_1706848635.jpg,false,idx_869.json,crawled
BE400-Q002,400ml 브로우용기,PE,80x53x168(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658307661.jpg|ADD_GOODS1_1658307661.jpg,false,idx_193.json,crawled
BE180-R002,180ml 브로우용기,PE,47x143(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658116516.jpg,false,idx_34.json,crawled
TE090-U002,90ml 튜브브로우용기,PE,30x145(mm)/Ø18,,Bottle/PE,,,,,,,2,GOODS1_1660005283.jpg|ADD_GOODS1_1660005283.jpg,false,idx_469.json,crawled
DE111-C001,1000ml 세제브로우용기,PE,134x61x210(mm)/Ø37,,Bottle/PE,,,,,,,3,ADD_GOODS2_166000710620250911155214.jpg|GOODS1_1660007106.jpg|ADD_GOODS1_166000710620250911155214.jpg,false,idx_486.json,crawled
BE111-R009,1000ml 브로우용기,PE,104x171(mm)/Ø32,,Bottle/PE,,,,,,,1,GOODS1_1658121209.jpg,false,idx_63.json,crawled
BE320-U001,320ml 브로우용기,PE,72x51x152(mm)/Ø24,,Bottle/PE,,,,,,,2,GOODS1_1658129667.jpg|1658129667_1.jpg,false,idx_153.json,crawled
BE150-G011,150ml 브로우용기,PE,46x131(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658124549.jpg,false,idx_104.json,crawled
BE250-G014,250ml 브로우용기,PE,49x165(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_165812503320240530124835.jpg,false,idx_112.json,crawled
BE111-M001,1000ml 브로우용기,PE,113x64x248(mm)/Ø28,,Bottle/PE,,,,,,,4,ADD_GOODS2_1727255370.jpg|ADD_GOODS3_1727255370.jpg|GOODS1_1727255370.jpg|ADD_GOODS1_1727255370.jpg,false,idx_903.json,crawled
BE500-A003,500ml 브로우용기,PE,74x48x171(mm)/Ø32,,Bottle/PE,,,,,,,2,GOODS1_1658128919.jpg|ADD_GOODS1_1658128919.jpg,false,idx_145.json,crawled
BE300-G008,300ml 브로우용기,PE,65x130(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658124236.jpg,false,idx_99.json,crawled
BE350-G001,350ml 브로우용기,PE,56x188(mm)/Ø24,,Bottle/PE,,,,,,,1,GOODS1_1658122965.jpg,false,idx_76.json,crawled
