idx,product_name,url,crawl_status,image_count,image_status,image_types,print_area_status,spec_count,spec_status,spec_keys,crawled_at,json_path
798,20파이 이중캡 안개미스트,http://chungjinkorea.com/kr/product/view.php?idx=798,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:59:54.374023,products/idx_798.json
799,24파이 이중캡 안개미스트,http://chungjinkorea.com/kr/product/view.php?idx=799,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:59:22.708673,products/idx_799.json
820,43파이 오버캡형 무광 거품펌프,http://chungjinkorea.com/kr/product/view.php?idx=820,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:03:09.619785,products/idx_820.json
821,20파이 풀커버 안개미스트,http://chungjinkorea.com/kr/product/view.php?idx=821,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:45:34.777659,products/idx_821.json
822,20파이 풀커버 에센스펌프,http://chungjinkorea.com/kr/product/view.php?idx=822,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:48:48.101920,products/idx_822.json
845,24파이 무광 고점도펌프,http://chungjinkorea.com/kr/product/view.php?idx=845,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:02:33.817045,products/idx_845.json
846,28파이 무광 고점도펌프,http://chungjinkorea.com/kr/product/view.php?idx=846,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:00:29.315408,products/idx_846.json
847,32파이 무광 고점도펌프,http://chungjinkorea.com/kr/product/view.php?idx=847,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:53:23.759642,products/idx_847.json
848,28파이 무광 고점도 펌프,http://chungjinkorea.com/kr/product/view.php?idx=848,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:48:39.612194,products/idx_848.json
849,24파이 무광 고점도펌프,http://chungjinkorea.com/kr/product/view.php?idx=849,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:57:46.791793,products/idx_849.json
856,24파이 온오프펌프,http://chungjinkorea.com/kr/product/view.php?idx=856,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:57:39.201070,products/idx_856.json
857,28파이 온오프펌프,http://chungjinkorea.com/kr/product/view.php?idx=857,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:52:47.787779,products/idx_857.json
858,24파이 온오프펌프,http://chungjinkorea.com/kr/product/view.php?idx=858,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:04:52.638400,products/idx_858.json
859,28파이 온오프펌프,http://chungjinkorea.com/kr/product/view.php?idx=859,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:45:16.918227,products/idx_859.json
864,20파이 민자 장캡,http://chungjinkorea.com/kr/product/view.php?idx=864,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:47:02.345474,products/idx_864.json
870,24파이 스킨 장캡,http://chungjinkorea.com/kr/product/view.php?idx=870,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:57:54.271709,products/idx_870.json
874,24파이 무광 온오프펌프,http://chungjinkorea.com/kr/product/view.php?idx=874,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:59:07.212132,products/idx_874.json
892,30파이 오버캡형 거품펌프,http://chungjinkorea.com/kr/product/view.php?idx=892,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:03:43.144701,products/idx_892.json
893,86파이 크림 중간캡,http://chungjinkorea.com/kr/product/view.php?idx=893,성공,3,성공,"additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T07:01:33.053228,products/idx_893.json
911,20파이 에센스펌프,http://chungjinkorea.com/kr/product/view.php?idx=911,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:49:40.992472,products/idx_911.json
918,24파이 온오프펌프,http://chungjinkorea.com/kr/product/view.php?idx=918,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:01:15.205064,products/idx_918.json
919,43파이 민자캡,http://chungjinkorea.com/kr/product/view.php?idx=919,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:47:55.355492,products/idx_919.json
921,20파이 이중 원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=921,성공,3,성공,"additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T06:52:39.298491,products/idx_921.json
922,24파이 이중 원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=922,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:00:11.544466,products/idx_922.json
923,18파이 풀커버 에센스 펌프,http://chungjinkorea.com/kr/product/view.php?idx=923,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:05:01.598907,products/idx_923.json
924,18파이 민자 단캡,http://chungjinkorea.com/kr/product/view.php?idx=924,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:01:06.755262,products/idx_924.json
925,18파이 일반미스트,http://chungjinkorea.com/kr/product/view.php?idx=925,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:54:59.390871,products/idx_925.json
926,18파이 일반미스트,http://chungjinkorea.com/kr/product/view.php?idx=926,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:55:54.162147,products/idx_926.json
927,32파이 룰렛 원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=927,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:45:52.159635,products/idx_927.json
930,28파이 오일펌프,http://chungjinkorea.com/kr/product/view.php?idx=930,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:01:41.404280,products/idx_930.json
931,24파이 디퓨저 캡,http://chungjinkorea.com/kr/product/view.php?idx=931,성공,3,성공,"additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T06:58:03.132412,products/idx_931.json
932,28파이 디퓨저 캡,http://chungjinkorea.com/kr/product/view.php?idx=932,성공,3,성공,"additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T06:45:43.642152,products/idx_932.json
933,20파이 물감캡,http://chungjinkorea.com/kr/product/view.php?idx=933,성공,3,성공,"additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T06:56:53.741343,products/idx_933.json
934,24파이 물감캡,http://chungjinkorea.com/kr/product/view.php?idx=934,성공,3,성공,"additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T06:56:45.490474,products/idx_934.json
935,24파이 360도 원터치캡,http://chungjinkorea.com/kr/product/view.php?idx=935,성공,4,성공,"additional_3,additional_2,main",없음,3,완료,"Phone,Fax,Email",2025-10-18T06:47:38.317493,products/idx_935.json
946,24파이 풀커버 일반미스트,http://chungjinkorea.com/kr/product/view.php?idx=946,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:52:30.148869,products/idx_946.json
947,30파이 오버캡형 거품펌프,http://chungjinkorea.com/kr/product/view.php?idx=947,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:51:54.183060,products/idx_947.json
948,20파이 오일펌프,http://chungjinkorea.com/kr/product/view.php?idx=948,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:47:11.565407,products/idx_948.json
950,20파이 풀커버 일반미스트,http://chungjinkorea.com/kr/product/view.php?idx=950,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:50:16.614260,products/idx_950.json
951,20파이 뾰족캡,http://chungjinkorea.com/kr/product/view.php?idx=951,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T07:00:20.183866,products/idx_951.json
952,24파이 뾰족캡,http://chungjinkorea.com/kr/product/view.php?idx=952,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:51:27.239067,products/idx_952.json
953,24파이 회오리캡,http://chungjinkorea.com/kr/product/view.php?idx=953,성공,2,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:53:15.018500,products/idx_953.json
964,24파이 온오프펌프,http://chungjinkorea.com/kr/product/view.php?idx=964,성공,1,성공,main,없음,3,완료,"Phone,Fax,Email",2025-10-18T06:50:51.869615,products/idx_964.json
